indicator_id,indicator_name,region,fiscal_year,is_synthetic,coverage_pct,count_value,eligible_pop,source
1,Proportion of surviving infants who received 1st dose of Penta,Tigray,EFY2016,False,,,,baseline_missing_in_source
1,Proportion of surviving infants who received 1st dose of Penta,Tigray,EFY2017,False,0.98,,,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Afar,EFY2011,True,0.668741,36676,54843.9,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Afar,EFY2012,True,0.740367,41620,56214.99,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Afar,EFY2013,True,0.691172,39826,57620.37,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Afar,EFY2014,True,0.869198,51336,59060.88,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Afar,EFY2015,True,0.925006,55997,60537.4,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Afar,EFY2016,False,0.967426,26981,62050.83,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,Afar,EFY2017,False,1,62050.835,62050.835,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,EFY2011,True,0.724909,515600,711261.37,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,EFY2012,True,0.745694,543643,729042.9,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,EFY2013,True,0.694617,519066,747268.97,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,EFY2014,True,0.893942,684716,765950.7,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,EFY2015,True,0.925272,726430,785099.46,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,EFY2016,False,1.032298,373269,804726.95,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,EFY2017,False,1,804726.9506,804726.9506,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Oromia,EFY2011,True,0.672063,879926,1309291.24,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Oromia,EFY2012,True,0.780181,1047021,1342023.52,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Oromia,EFY2013,True,0.824101,1133612,1375574.11,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Oromia,EFY2014,True,0.955582,1347336,1409963.46,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Oromia,EFY2015,True,1.05,1517473,1445212.55,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Oromia,EFY2016,False,1.122915,738384,1481342.86,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,Oromia,EFY2017,False,1,1481342.8612000002,1481342.8612000002,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Somali,EFY2011,True,0.815977,158564,194324.6,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Somali,EFY2012,True,0.782632,155887,199182.71,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Somali,EFY2013,True,0.790562,161403,204162.28,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Somali,EFY2014,True,0.914448,191363,209266.34,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Somali,EFY2015,True,0.976162,209385,214497.99,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Somali,EFY2016,False,1.012272,98917,219860.44,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,Somali,EFY2017,False,1,219860.4444,219860.4444,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,B/Gumuz,EFY2011,True,0.46798,18383,39280.63,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,B/Gumuz,EFY2012,True,0.482926,19444,40262.65,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,B/Gumuz,EFY2013,True,0.488082,20143,41269.21,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,B/Gumuz,EFY2014,True,0.581634,24604,42300.94,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,B/Gumuz,EFY2015,True,0.602405,26119,43358.47,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,B/Gumuz,EFY2016,False,0.66692,12649,44442.43,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,B/Gumuz,EFY2017,False,1,44442.4277,44442.4277,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Souther E,EFY2011,True,0.759308,183869,242152.71,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Souther E,EFY2012,True,0.816693,202709,248206.53,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Souther E,EFY2013,True,0.763898,194344,254411.69,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Souther E,EFY2014,True,0.963078,251144,260771.98,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Souther E,EFY2015,True,1.05,280656,267291.28,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Souther E,EFY2016,False,1.125931,250538,273973.56,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,Souther E,EFY2017,False,1,273973.5635544596,273973.5635544596,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Central E,EFY2011,True,0.678287,136881,201804.2,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Central E,EFY2012,True,0.790522,163519,206849.3,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Central E,EFY2013,True,0.766816,162581,212020.53,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Central E,EFY2014,True,0.942283,204778,217321.05,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Central E,EFY2015,True,1.000244,222808,222754.07,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Central E,EFY2016,False,1.104755,81899,228322.92,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,Central E,EFY2017,False,1,228322.9249806634,228322.9249806634,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Sidama,EFY2011,True,0.834652,124388,149029.58,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sidama,EFY2012,True,0.882021,134733,152755.32,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sidama,EFY2013,True,0.855821,134000,156574.2,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sidama,EFY2014,True,1.022596,164115,160488.56,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sidama,EFY2015,True,1.05,172726,164500.77,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sidama,EFY2016,False,1.104755,81899,168613.29,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,Sidama,EFY2017,False,1,168613.2885270483,168613.2885270483,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Sout West,EFY2011,True,0.656367,70893,108008.68,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sout West,EFY2012,True,0.748151,82827,110708.9,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sout West,EFY2013,True,0.680543,77226,113476.62,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sout West,EFY2014,True,0.859224,99939,116313.53,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sout West,EFY2015,True,0.904494,107835,119221.37,synthetic_history
1,Proportion of surviving infants who received 1st dose of Penta,Sout West,EFY2016,False,0.980908,52702,122201.91,baseline_actual
1,Proportion of surviving infants who received 1st dose of Penta,Sout West,EFY2017,False,1,122201.90673782853,122201.90673782853,target_actual
1,Proportion of surviving infants who received 1st dose of Penta,Gambela,EFY2011,True,0.815384,12180,14937.92,synthetic_history
